PAC4GC:7339166	Xelaev18047224m.g	62215
PAC4GC:7358782.2.592a4f67	Xelaev18044758m.g	50944
PAC4GC:7358782	Xelaev18044758m.g	31434
PAC4GC:7359428	Xelaev18044759m.g	30724
PAC4GC:7323497.4.592a4f55	Xelaev18029490m.g	29495
PAC4GC:7323497.1.592a4f55.3.592d0e17	Xelaev18029490m.g	29168
PAC4GC:7323497.3.592a4f55	Xelaev18029490m.g	27463
PAC4GC:7326262	Xelaev18030588m.g	27353
PAC4GC:7326262.5.592a4f4d	Xelaev18030588m.g	27024
PAC4GC:7326262.2.592a4f4d	Xelaev18030588m.g	26790
PAC4GC:7326790.1.592a4f54	Xelaev18026741m.g	26500
PAC4GC:7326790.5.592a4f54	Xelaev18026741m.g	26488
PAC4GC:7326790.9.592a4f54	Xelaev18026741m.g	26482
PAC4GC:7326910	Xelaev18026742m.g	26470
PAC4GC:7326790.11.592a4f54	Xelaev18026741m.g	26464
PAC4GC:7326790.2.592a4f54	Xelaev18026741m.g	26441
PAC4GC:7323497.2.592a4f55	Xelaev18029490m.g	26418
PAC4GC:7326790.8.592a4f54	Xelaev18026741m.g	26407
PAC4GC:7326790.6.592a4f54	Xelaev18026741m.g	26329
PAC4GC:7326790.7.592a4f54	Xelaev18026741m.g	26203
PAC4GC:7326790.10.592a4f54	Xelaev18026741m.g	26191
PAC4GC:7326790.4.592a4f54	Xelaev18026741m.g	26185
PAC4GC:7326790.3.592a4f54	Xelaev18026741m.g	26173
PAC4GC:7322720.1.592a4f57	Xelaev18029632m.g	25925
PAC4GC:7322720.2.592a4f57	Xelaev18029632m.g	25808
PAC4GC:7326262.3.592a4f4d	Xelaev18030588m.g	25731
PAC4GC:7322720.8.592a4f57	Xelaev18029632m.g	25691
PAC4GC:7322720.7.592a4f57	Xelaev18029632m.g	25691
PAC4GC:7322720.4.592a4f57	Xelaev18029632m.g	25691
PAC4GC:7322720.9.592a4f57	Xelaev18029632m.g	25574
PAC4GC:7322720.6.592a4f57	Xelaev18029632m.g	25457
PAC4GC:7322720.5.592a4f57	Xelaev18029632m.g	25457
PAC4GC:7326262.8.592a4f4d	Xelaev18030588m.g	25428
PAC4GC:7322720.10.592a4f57	Xelaev18029632m.g	25379
PAC4GC:7322720.3.592a4f57	Xelaev18029632m.g	25262
PAC4GC:7323397	Xelaev18029634m.g	25220
PAC4GC:7323497.1.592a4f55.2.592d0e17	Xelaev18029490m.g	25195
PAC4GC:7326262.4.592a4f4d	Xelaev18030588m.g	25191
PAC4GC:7326262.9.592a4f4d	Xelaev18030588m.g	25155
PAC4GC:7326262.1.592a4f4d	Xelaev18030588m.g	25149
PAC4GC:7326205	Xelaev18030589m.g	24882
PAC4GC:7321811.8.592a4f6a	Xelaev18004054m.g	24247
PAC4GC:7326262.6.592a4f4d	Xelaev18030588m.g	23847
PAC4GC:7321811.10.592a4f6a	Xelaev18004054m.g	23065
PAC4GC:7326262.7.592a4f4d	Xelaev18030588m.g	23046
PAC4GC:7355595.6.592a4f5f	Xelaev18012621m.g	22600
PAC4GC:7355595.8.592a4f5f	Xelaev18012621m.g	22549
PAC4GC:7366205	Xelaev18034551m.g	22523
PAC4GC:7355595.1.592a4f5f	Xelaev18012621m.g	22415
PAC4GC:7355595.5.592a4f5f	Xelaev18012621m.g	22246
PAC4GC:7355595.2.592a4f5f	Xelaev18012621m.g	22222
PAC4GC:7328283	Xelaev18027361m.g	21882
PAC4GC:7363288.9.592a4f64	Xelaev18023675m.g	21279
PAC4GC:7355595.7.592a4f5f	Xelaev18012621m.g	21277
PAC4GC:7355595.12.592a4f5f	Xelaev18012621m.g	21274
PAC4GC:7363288.6.592a4f64	Xelaev18023675m.g	21246
PAC4GC:7355595.10.592a4f5f	Xelaev18012621m.g	21136
PAC4GC:7325123.1.592a4f52	Xelaev18030942m.g	21116
PAC4GC:7355595.3.592a4f5f	Xelaev18012621m.g	21106
PAC4GC:7324643.2.592a4f52	Xelaev18030943m.g	21071
PAC4GC:7363288.2.592a4f64	Xelaev18023675m.g	21027
PAC4GC:7348287.2.592a4f5e	Xelaev18039881m.g	20966
PAC4GC:7363288.10.592a4f64	Xelaev18023675m.g	20932
PAC4GC:7363288	Xelaev18023675m.g	20884
PAC4GC:7363288.3.592a4f64	Xelaev18023675m.g	20878
PAC4GC:7363288.7.592a4f64	Xelaev18023675m.g	20874
PAC4GC:7363288.11.592a4f64	Xelaev18023675m.g	20803
PAC4GC:7327272.2.592a4f5b	Xelaev18027495m.g	20729
PAC4GC:7363288.1.592a4f64	Xelaev18023675m.g	20718
PAC4GC:7363288.4.592a4f64	Xelaev18023675m.g	20713
PAC4GC:7363288.8.592a4f64	Xelaev18023675m.g	20711
PAC4GC:7333793	Xelaev18032770m.g	20703
PAC4GC:7327272.4.592a4f5b	Xelaev18027495m.g	20692
PAC4GC:7327272.3.592a4f5b	Xelaev18027495m.g	20683
PAC4GC:7328317.2.592a4f54	Xelaev18026746m.g	20665
PAC4GC:7363288.12.592a4f64	Xelaev18023675m.g	20625
PAC4GC:7362611	Xelaev18023676m.g	20570
PAC4GC:7323105.1.592a4f55	Xelaev18029491m.g	20398
PAC4GC:7351244	Xelaev18015831m.g	20084
PAC4GC:7346394.1.592a4f5a.1.592d0e1d	Xelaev18039447m.g	20065
PAC4GC:7352164.5.592a4f5f	Xelaev18015830m.g	20063
PAC4GC:7352164.2.592a4f5f	Xelaev18015830m.g	20057
PAC4GC:7352164.1.592a4f5f	Xelaev18015830m.g	20056
PAC4GC:7346394.2.592a4f5a	Xelaev18039447m.g	20056
PAC4GC:7352164.6.592a4f5f	Xelaev18015830m.g	20053
PAC4GC:7352164.4.592a4f5f	Xelaev18015830m.g	20039
PAC4GC:7337322	Xelaev18003132m.g	19989
PAC4GC:7352164.9.592a4f5f	Xelaev18015830m.g	19988
PAC4GC:7352164.7.592a4f5f	Xelaev18015830m.g	19970
PAC4GC:7352164.8.592a4f5f	Xelaev18015830m.g	19961
PAC4GC:7352164.12.592a4f5f	Xelaev18015830m.g	19958
PAC4GC:7352164.3.592a4f5f	Xelaev18015830m.g	19945
PAC4GC:7352164.11.592a4f5f	Xelaev18015830m.g	19937
PAC4GC:7358856.1.592a4f66	Xelaev18044573m.g	19779
PAC4GC:7358856.1.592a4f66.1.592d0e2b	Xelaev18044573m.g	19698
PAC4GC:7359920.1.592a4f66	Xelaev18044575m.g	19686
PAC4GC:7358856.4.592a4f66	Xelaev18044573m.g	19623
PAC4GC:7328317	Xelaev18026746m.g	19623
PAC4GC:7355595.11.592a4f5f	Xelaev18012621m.g	19620
PAC4GC:7358856.2.592a4f66	Xelaev18044573m.g	19605
PAC4GC:7323497.1.592a4f55.1.592d0e17	Xelaev18029490m.g	19552
PAC4GC:7353297	Xelaev18013321m.g	19522
PAC4GC:7358856.3.592a4f66	Xelaev18044573m.g	19518
PAC4GC:7364670	Xelaev18024452m.g	19506
PAC4GC:7352164.10.592a4f5f	Xelaev18015830m.g	19505
PAC4GC:7337335	Xelaev18003131m.g	19499
PAC4GC:7353297.2.592a4f66	Xelaev18013321m.g	19475
PAC4GC:7323497	Xelaev18029490m.g	19255
PAC4GC:7353297.4.592a4f66	Xelaev18013321m.g	19221
PAC4GC:7353297.1.592a4f66	Xelaev18013321m.g	19206
PAC4GC:7364670.2.592a4f50	Xelaev18024452m.g	19111
PAC4GC:7330927.2.592a4f68	Xelaev18008081m.g	19093
PAC4GC:7358856.5.592a4f66	Xelaev18044573m.g	19050
PAC4GC:7353892	Xelaev18012285m.g	18709
PAC4GC:7321811.5.592a4f6a	Xelaev18004054m.g	18672
PAC4GC:7341131	Xelaev18042565m.g	18666
PAC4GC:7326605	Xelaev18030660m.g	18623
PAC4GC:7326605.6.592a4f4e	Xelaev18030660m.g	18546
PAC4GC:7326605.2.592a4f4e	Xelaev18030660m.g	18525
PAC4GC:7334320	Xelaev18033155m.g	18523
PAC4GC:7326605.1.592a4f4e	Xelaev18030660m.g	18522
PAC4GC:7326605.4.592a4f4e	Xelaev18030660m.g	18519
PAC4GC:7326605.8.592a4f4e	Xelaev18030660m.g	18510
PAC4GC:7326605.3.592a4f4e	Xelaev18030660m.g	18459
PAC4GC:7333464.2.592a4f50	Xelaev18033154m.g	18451
PAC4GC:7326192	Xelaev18030661m.g	18446
PAC4GC:7333464.1.592a4f50	Xelaev18033154m.g	18444
PAC4GC:7326605.7.592a4f4e	Xelaev18030660m.g	18417
PAC4GC:7328857	Xelaev18027496m.g	18407
PAC4GC:7327272.1.592a4f5b	Xelaev18027495m.g	18399
PAC4GC:7321811.4.592a4f6a	Xelaev18004054m.g	18343
PAC4GC:7321811.3.592a4f6a	Xelaev18004054m.g	18292
PAC4GC:7355595	Xelaev18012621m.g	18261
PAC4GC:7355595.9.592a4f5f	Xelaev18012621m.g	18143
PAC4GC:7337599.3.592a4f65	Xelaev18047091m.g	18057
PAC4GC:7333391	Xelaev18032819m.g	18013
PAC4GC:7334398.5.592a4f4c	Xelaev18032818m.g	18010
PAC4GC:7334398.2.592a4f4c	Xelaev18032818m.g	18004
PAC4GC:7334398.4.592a4f4c	Xelaev18032818m.g	17983
PAC4GC:7337652.2.592a4f62	Xelaev18046632m.g	17977
PAC4GC:7337599	Xelaev18047091m.g	17976
PAC4GC:7334398.3.592a4f4c	Xelaev18032818m.g	17968
PAC4GC:7351193	Xelaev18015365m.g	17932
PAC4GC:7338610	Xelaev18046633m.g	17926
PAC4GC:7334398	Xelaev18032818m.g	17921
PAC4GC:7337599.6.592a4f65	Xelaev18047091m.g	17883
PAC4GC:7337599.5.592a4f65	Xelaev18047091m.g	17871
PAC4GC:7359324	Xelaev18044862m.g	17863
PAC4GC:7334132_PAC4GC:7334166.4.592d0e1c	32031_32028	17862
PAC4GC:7334132_PAC4GC:7334166.5.592d0e1c	32031_32028	17854
PAC4GC:7355327	Xelaev18013323m.g	17853
PAC4GC:7321811.2.592a4f6a	Xelaev18004054m.g	17831
PAC4GC:7358851	Xelaev18043736m.g	17783
PAC4GC:7337599.4.592a4f65	Xelaev18047091m.g	17778
PAC4GC:7327499	Xelaev18027278m.g	17729
PAC4GC:7358851.2.592a4f62	Xelaev18043736m.g	17722
PAC4GC:7348962.4.592a4f5d	Xelaev18021369m.g	17692
PAC4GC:7365469	Xelaev18024453m.g	17680
PAC4GC:7327642	Xelaev18027451m.g	17658
PAC4GC:7348962.2.592a4f5d	Xelaev18021369m.g	17639
PAC4GC:7337599.2.592a4f65	Xelaev18047091m.g	17592
PAC4GC:7352566	Xelaev18014309m.g	17586
PAC4GC:7367658.4.592a4f55.3.592d0e1a	Xelaev18034942m.g	17477
PAC4GC:7367658.5.592a4f55	Xelaev18034942m.g	17429
PAC4GC:7346203	Xelaev18039377m.g	17419
PAC4GC:7347790.1.592a4f59	Xelaev18039376m.g	17359
PAC4GC:7363245	Xelaev18023970m.g	17356
PAC4GC:7347790.2.592a4f59	Xelaev18039376m.g	17341
PAC4GC:7353607	Xelaev18012304m.g	17338
PAC4GC:7355682	Xelaev18012622m.g	17337
PAC4GC:7355786.1.592a4f5b	Xelaev18012300m.g	17335
PAC4GC:7335424	Xelaev18010683m.g	17320
PAC4GC:7334319	Xelaev18034140m.g	17301
PAC4GC:7367658.4.592a4f55	Xelaev18034942m.g	17297
PAC4GC:7367658.1.592a4f55	Xelaev18034942m.g	17280
PAC4GC:7321811.1.592a4f6a	Xelaev18004054m.g	17262
PAC4GC:7334132_PAC4GC:7334166.2.592d0e1c	32031_32028	17249
PAC4GC:7334132_PAC4GC:7334166.9.592d0e1c	32031_32028	17235
